254	./Applications/Microsoft PowerPoint.app/Contents/SharedSupport/Proofing Tools
254	./Applications/Microsoft Excel.app/Contents/SharedSupport/Proofing Tools
253	./Applications/Adobe Acrobat Reader DC.app/Contents/Frameworks
252	./System/iOSSupport/System/Library
252	./System/iOSSupport/System
252	./System/iOSSupport
244	./System/Volumes/Data/Applications/Microsoft Teams.app
244	./Applications/Microsoft Teams.app/Contents
244	./Applications/Microsoft Teams.app
241	./Library/Application Support/Logic/Alchemy Samples
238	./Library/Developer/CommandLineTools/SDKs/MacOSX10.15.sdk
234	./System/Volumes/Data/Applications/TeamViewer.app
234	./Applications/TeamViewer.app/Contents
234	./Applications/TeamViewer.app
230	./System/Library/KernelCollections
230	./Library/Developer/CommandLineTools/usr/lib
227	./Applications/Spotify.app/Contents/Frameworks
225	./Users/tianhan/Documents/workspace/brbo-impl
224	./Applications/Spotify.app/Contents/Frameworks/Chromium Embedded Framework.framework
219	./System/Volumes/Preboot/BFF27CB0-3CF9-4833-B362-E787A3F7ABC8
219	./System/Volumes/Preboot
218	./System/Applications/Utilities
213	./usr/share
211	./System/Volumes/Data/Applications/Slack.app
211	./Applications/Slack.app/Contents
211	./Applications/Slack.app
202	./Applications/Docker.app/Contents/MacOS/Docker Desktop.app
201	./System/Volumes/Data/Applications/Kindle.app
201	./Applications/Kindle.app/Contents
201	./Applications/Kindle.app
197	./System/Library/PrivateFrameworks/VideoProcessing.framework/Versions
197	./System/Library/PrivateFrameworks/VideoProcessing.framework
187	./System/iOSSupport/System/Library/PrivateFrameworks
187	./Applications/Slack.app/Contents/Frameworks
186	./Library/Application Support/Logic/EXS Factory Samples/01 Acoustic Pianos
186	./Applications/Slack.app/Contents/Frameworks/Electron Framework.framework
180	./Users/tianhan/Google Drive/Backup/win
175	./Users/tianhan/Pictures/Photos Library.photoslibrary
175	./Users/tianhan/Pictures
167	./Applications/Docker.app/Contents/Resources/snyk
164	./Library/Audio/Apple Loops/Apple/01 Hip Hop
162	./Applications/Adobe Acrobat Reader DC.app/Contents/Frameworks/Chromium Embedded Framework.framework
161	./Applications/Microsoft Word.app/Contents/Frameworks/mso99.framework
161	./Applications/Microsoft Teams.app/Contents/Frameworks
161	./Applications/Microsoft PowerPoint.app/Contents/Frameworks/mso99.framework
161	./Applications/Microsoft Excel.app/Contents/Frameworks/mso99.framework
158	./System/Library/Templates/Data/Library
156	./System/Library/PreferencePanes
156	./Applications/Microsoft Teams.app/Contents/Frameworks/Electron Framework.framework
154	./private/var/db/receipts
149	./System/Volumes/Data/Applications/TeX
149	./Applications/TeX
146	./Applications/Microsoft Excel.app/Contents/SharedSupport/Microsoft.Mashup.Container.app
144	./Library/Application Support/Adobe
143	./Library/Application Support/Adobe/Reader/DC
143	./Library/Application Support/Adobe/Reader
137	./Users/tianhan/Library/Application Support/Firefox
136	./Applications/TeamViewer.app/Contents/MacOS
